"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-03"",103.0717,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-04"",103.1243,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-05"",102.8756,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-06"",102.3143,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-07"",101.6297,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-08"",101.0032,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-09"",100.5144,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-10"",100.1205,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-11"",99.73987,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-12"",99.35818,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-01"",98.96902,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-02"",98.56303,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-03"",98.11157,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-04"",97.61682,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-05"",97.18912,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-06"",96.83829,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1980-07"",96.56192,"
